date,covid_in_pop,covid_in_pop_lo,covid_in_pop_up
2021-04-05,1569.0,1148.7237933783242,2141.7193715629705
2021-04-06,1291.0,920.2530932224154,1811.2663585275002
2021-04-07,1377.0,990.9746808660049,1912.686875460659
2021-04-08,1368.0,979.4430278116639,1908.592457921757
2021-04-09,1327.0,945.6849677709893,1861.3349397002428
2021-04-10,1271.0,895.7583826474711,1801.1701932657693
2021-04-11,1154.0,798.6454197098492,1665.150529607221
2021-04-12,1092.0,750.731176012375,1586.3815090572866
2021-04-13,966.0,649.7210735920812,1436.1444573189967
2021-04-14,1021.0,691.7096582486965,1504.7977446646303
2021-04-15,896.0,591.769496871558,1354.4557664322772
2021-04-16,859.0,561.9575886683117,1311.202409350144
2021-04-17,870.0,569.3121385636668,1328.27911787612
2021-04-18,790.0,506.21184728196187,1232.8528198296983
2021-04-19,781.0,499.9749992259528,1217.6464368054003
2021-04-20,668.0,411.4355476902278,1083.9686224188613
2021-04-21,631.0,382.674489753414,1040.111335616286
2021-04-22,716.0,447.1263099426288,1144.7322950864132
2021-04-23,737.0,460.7331525434469,1179.4330019452316
2021-04-24,757.0,472.87973192396163,1210.3917450164192
2021-04-25,695.0,421.3966378711304,1144.8979645420268
2021-04-26,667.0,397.7191250140399,1118.393602102999
2021-04-27,650.0,379.99704119576415,1110.249825074013
2021-04-28,677.0,395.9960633360646,1157.0145220011946
2021-04-29,676.0,395.48977927715083,1155.6158813086047
2021-04-30,698.0,416.24243263728374,1170.7676282170182
2021-05-01,756.0,458.6805510509823,1246.4917650833318
2021-05-02,778.0,471.9347129073987,1282.5129380541655
2021-05-03,862.0,530.7069805802433,1397.8571285004987
2021-05-04,900.0,562.2393392065076,1439.4564488204285
2021-05-05,1043.0,675.6284386493834,1608.9659802594197
2021-05-06,1120.0,732.9862160594148,1709.8745479503239
2021-05-07,2148.0,1419.5580461089687,3248.395464317581
2021-05-08,2182.0,1454.626755609617,3269.3789186586923
2021-05-09,2224.0,1495.7570619898197,3305.5584086598265
2021-05-10,2221.0,1516.8954267329502,3250.7411651652633
2021-05-11,2069.0,1412.837955966397,3027.968973301827
2021-05-12,1872.0,1268.4897125798793,2759.7605858441216
2021-05-13,1732.0,1155.0579347871633,2596.7458048060867
2021-05-14,2085.0,1443.4372867783673,3009.666508269799
2021-05-15,2132.0,1475.770152149693,3077.107089112903
2021-05-16,2063.0,1418.8323267231551,2998.3425463029857
2021-05-17,2132.0,1485.5570209798025,3058.7109437163845
2021-05-18,2024.0,1400.894698663456,2921.2919398374133
2021-05-19,1818.0,1232.2935923981836,2681.3585581869747
2021-05-20,1819.0,1222.9345272907508,2703.6199376198574
2021-05-21,1851.0,1244.4344659884623,2751.1645497205964
2021-05-22,1919.0,1290.471657451263,2852.8810162463656
2021-05-23,2150.0,1457.3794505342098,3171.047232116782
2021-05-24,2373.0,1620.4064503500636,3473.3843008528524
2021-05-25,2670.0,1848.328353980586,3854.4131980360626
2021-05-26,3171.0,2247.5423299955696,4470.938037010632
2021-05-27,2906.0,2024.6347730583063,4168.928630703541
2021-05-28,3574.0,2558.9746627343925,4987.521321004029
2021-05-29,4406.0,3250.26605308714,5968.988132182929
2021-05-30,4554.0,3359.5373894165564,6169.33426994679
2021-05-31,5119.0,3816.6892410826927,6862.1135720279235
2021-06-01,6271.0,4810.589462623028,8168.609001928741
2021-06-02,6923.0,5372.759561365215,8915.49912302632
2021-06-03,8121.0,6434.9675786551115,10241.85118882313
2021-06-04,8419.0,6651.361013844701,10651.207824466977
2021-06-05,9150.0,7276.154468829202,11498.87722113593
2021-06-06,9864.0,7890.0372649090705,12324.554382547652
2021-06-07,10449.0,8408.275095459194,12976.921807254259
2021-06-08,11071.0,8937.677801044814,13704.556389930169
2021-06-09,11284.0,9122.31002452024,13948.49072221841
2021-06-10,11585.0,9390.415791856725,14282.588545017685
2021-06-11,11910.0,9683.085561769238,14640.279793084914
2021-06-12,12348.0,10096.325605716085,15092.657845920387
2021-06-13,12922.0,10624.857739379053,15707.107963325976
2021-06-14,13058.0,10778.281975766542,15811.72904639489
2021-06-15,13221.0,10948.34272607297,15955.476650625624
2021-06-16,13700.0,11384.722018130371,16475.595761806715
2021-06-17,14512.0,12122.071082002754,17363.326273567636
2021-06-18,15048.0,12644.899698011683,17897.23030356848
2021-06-19,14953.0,12583.143772627398,17758.162466702215
2021-06-20,15458.0,13076.258336465718,18263.1286206306
2021-06-21,16180.0,13751.227077626885,19027.25784051722
2021-06-22,16757.0,14314.19971748655,19607.669667141792
2021-06-23,17036.0,14611.30754663814,19854.15291874648
2021-06-24,17880.0,15420.065529073734,20722.423100618733
