date,age_group,respondent_count,unhealthy_count,unhealthy_unk_count,predicted_covid_positive_count,predicted_covid_positive_prob,population,corrected_covid_positive,corrected_covid_positive_prob,factor,factor_prob,+ symptom_based,+ response_rate
20220103,35 - 54,180788,40221,40221,7390,82541.87459299705,17542141,761278.2903978949,8909481.769634621,0.8713475048736451,0.07620373298357679,799154.5292455115,0.010305925599389493
20220103,55 - 74,395431,45685,45683,8110,91718.07719927332,14608166,302378.5659648522,3648236.9968181923,0.8713475048736451,0.07620373298357679,322691.19617088424,0.02706917487109607
20220103,75 - 119,83494,5402,5402,1026,11733.211351241896,4931625,62981.81461966282,742901.4887988499,0.8713475048736451,0.07620373298357679,65213.804163167064,0.016930322155476137
20220104,0 - 17,31064,4092,4092,792,9888.358849140863,14044453,401978.9149261344,5095713.469296635,0.922870086842424,0.0751951780839294,406910.4198066818,0.00221183409563904
20220104,18 - 34,45417,11773,11771,2933,35789.275340730346,14704349,1046415.8152164218,13435434.232804721,0.922870086842424,0.0751951780839294,1101176.7573205233,0.0030886780502829467
20220104,35 - 54,180666,40140,40140,7280,87606.61021367715,17542141,767160.7875415572,9442803.484442478,0.922870086842424,0.0751951780839294,786626.8464910391,0.01029897091808805
20220104,55 - 74,395033,46246,46244,8211,99899.70999098921,14608166,316575.50564213423,4003930.906135699,0.922870086842424,0.0751951780839294,329013.42192050564,0.027041929835682318
20220104,75 - 119,83356,5577,5577,1057,12916.997965326536,4931625,66342.19539245004,812042.9630732874,0.922870086842424,0.0751951780839294,66757.15686183178,0.01690233949256077
20220105,0 - 17,31234,3953,3953,775,9286.845728149652,14044453,399698.32071222353,4764028.597839518,0.9207048069462781,0.07839792923036619,396065.8486872054,0.002223938518645048
20220105,18 - 34,45559,11745,11743,2927,34374.34275795014,14704349,1063738.7752902529,12754736.10797623,0.9207048069462781,0.07839792923036619,1084773.0565039457,0.0030983350571997443
20220105,35 - 54,180989,40067,40067,7193,83505.33302925092,17542141,785804.8773178862,9068761.480333667,0.9207048069462781,0.07839792923036619,783245.1211559913,0.010317383721861544
20220105,55 - 74,394939,46397,46395,8279,96794.37386271436,14608166,328663.18422196445,3903428.520033957,0.9207048069462781,0.07839792923036619,333429.5273742114,0.027035495078574546
20220105,75 - 119,83314,5657,5657,1061,12521.030586179695,4931625,67726.21612611838,785204.3468191475,0.9207048069462781,0.07839792923036619,67039.84413385458,0.016893823029934352
20220106,0 - 17,31338,3786,3786,725,8501.959712728612,14044453,408176.05766330764,4507845.324587846,0.9807237716372323,0.08510274424953987,382961.80766814644,0.0022313435774251942
20220106,18 - 34,45547,11584,11582,2865,32881.19924895701,14704349,1085492.0825197636,12082243.11542424,0.9807237716372323,0.08510274424953987,1055115.0141286193,0.003097518972108184
20220106,35 - 54,180759,39638,39637,6894,78474.21427135183,17542141,785264.8508216277,8503252.263378385,0.9807237716372323,0.08510274424953987,750062.7812363332,0.010304272437440788
20220106,55 - 74,394530,45985,45984,8000,91708.93219778207,14608166,337060.03649302415,3758334.3736713203,0.9807237716372323,0.08510274424953987,328186.33677033096,0.027007497039669457
20220106,75 - 119,83242,5594,5594,994,11461.421397724784,4931625,68124.88247641677,731921.2239632646,0.9807237716372323,0.08510274424953987,64334.8539821336,0.016879223379717638
20220107,0 - 17,31131,3673,3673,686,7805.643597201759,14044453,386239.3461291297,3864328.5699008373,1.042360134842754,0.09385869364055661,337509.54236321326,0.0022166046623531724
20220107,18 - 34,45145,11256,11254,2718,30242.331258658585,14704349,1120759.5798465381,11221669.11916845,1.042360134842754,0.09385869364055661,1013309.7210139,0.003070180121540913
20220107,35 - 54,179492,38692,38691,6441,71200.07516348823,17542141,791308.2770136334,7774527.759739693,1.042360134842754,0.09385869364055661,706731.5571325661,0.010232046361957757
20220107,55 - 74,393010,44894,44893,7569,84213.73872364486,14608166,346336.71369428415,3492327.4278762615,1.042360134842754,0.09385869364055661,314331.6914961733,0.02690344564813954
20220107,75 - 119,83085,5501,5501,938,10553.982845574059,4931625,69174.42449819972,683377.3785835599,1.042360134842754,0.09385869364055661,61157.36019583211,0.016847388031328417
20220108,0 - 17,30862,3540,3540,656,8202.205164512647,14044453,413323.2232095798,4205049.280930842,1.0428766977653212,0.08589474332401949,335947.61853370623,0.0021974511930083714
20220108,18 - 34,44761,10920,10917,2494,30573.90999500374,14704349,1107126.8722508468,11346480.158679103,1.0428766977653212,0.08589474332401949,923761.8343435499,0.003044065398610982
20220108,35 - 54,178051,37571,37570,5950,72308.97644943635,17542141,792585.7624579456,7970234.526320726,1.0428766977653212,0.08589474332401949,658424.1808985343,0.0101499013147825
