,date,region,pop_mid,pop_low,pop_up,100k_mid,100k_low,100k_up
2552,2020-07-30,Yorkshire and The Humber,162.0,62.96382465501938,414.32041274836314,2.9528780500701814,1.1490556299123091,7.561122683771818
1894,2020-07-30,North West,337.0,177.39824631061308,638.1984155293377,4.619729406395869,2.432747995817018,8.751923700497755
4526,2020-07-30,UK,1901.0,1474.10883934459,2449.751569271587,,,
3539,2020-07-30,Wales,104.0,23.421249282985176,730.4397317796188,3.2981841536510617,0.7462250032891785,23.272558379102826
2223,2020-07-30,Scotland,100.0,18.595607545314113,854.0549414467021,1.8341066028111301,0.34195045227770937,15.70502457561836
1236,2020-07-30,East of England,218.0,115.00628059824173,413.99755996330265,3.522272309104838,1.8545768715326019,6.676072781286094
3868,2020-07-30,North East,134.0,45.58758212902646,389.8329408401615,5.037491368191431,1.7151671531653814,14.666903225060056
3210,2020-07-30,West Midlands,140.0,47.668241806263445,409.9857224403011,2.3740569489800003,0.8078326527641021,6.948019083658268
578,2020-07-30,South East,227.0,130.1524168069157,396.866482334197,2.489648489303892,1.4249809556108959,4.345114697988991
906,2020-07-31,London,148.0,63.16578035322119,345.4977305030434,1.6595445152240735,0.7090840367664055,3.8784754034347397
2880,2020-07-31,East Midlands,186.0,79.5122589070572,433.28278009164234,3.8713024122571738,1.655074788626606,9.018928848619023
3538,2020-07-31,Wales,106.0,26.585246043237188,349.19567357850354,3.3777947889490854,0.8470331824045958,11.125732001579783
3209,2020-07-31,West Midlands,144.0,49.07805163015532,422.0424117176857,2.4442292414275366,0.8317246690578061,7.1523435335107965
2222,2020-07-31,Scotland,93.0,18.71698434377977,383.1039157333036,1.713373825570961,0.3441824229745641,7.044811896311279
3867,2020-07-31,North East,45.0,7.94411180333118,252.49631872095281,1.6926735407621845,0.29888577085713547,9.499810517250696
4196,2020-07-31,Northern Ireland,0.0,0.0,596.5542334783685,0.0,0.0,31.70396837429329
1235,2020-07-31,East of England,194.0,98.20483766916915,381.1465071256746,3.1230416082248995,1.583638907948817,6.146320819208539
1893,2020-07-31,North West,347.0,182.54135462291012,656.6109382970812,4.75352224476548,2.503277928886948,9.004423535150762
2551,2020-07-31,Yorkshire and The Humber,165.0,64.09519790308605,421.699343405384,3.005875294921173,1.169702577700916,7.695784163766688
1564,2020-07-31,South West,133.0,61.1662308530687,290.24971744033405,2.381982164089509,1.0923058118476803,5.183275948599961
248,2020-07-31,England,1548.0,1184.3679238717684,2023.9336574002655,2.7662227351724678,2.115804987296374,3.6156407480924915
4525,2020-07-31,UK,1747.0,1336.6219399250513,2284.1163433322117,,,
577,2020-07-31,South East,232.0,132.88858233692866,405.1820025084398,2.5419448784731267,1.4549380157049216,4.436157631919854
247,2020-08-01,England,1490.0,1130.8138146602387,1963.1204875687563,2.662053316173896,2.0201336599359094,3.5070015276024744
3537,2020-08-01,Wales,96.0,30.71492135300184,299.05000400532646,3.0576020027027053,0.9786088696951583,9.528039581757984
1234,2020-08-01,East of England,173.0,83.87958683619632,356.2532875951486,2.7905316869124395,1.3526317078590793,5.744895879986541
3208,2020-08-01,West Midlands,199.0,77.25934391417009,507.7655082855587,3.3641657442845023,1.3093124138846945,8.605090978760161
905,2020-08-01,London,184.0,84.34628956714992,400.64219275662464,2.0651471709481264,0.9468513989393442,4.497514029751466
4524,2020-08-01,UK,1681.0,1275.7704848616518,2214.7688185255565,,,
1892,2020-08-01,North West,234.0,107.26510192535628,508.69542559103223,3.207414759562793,1.4709782489794943,6.975986532138745
4195,2020-08-01,Northern Ireland,0.0,0.0,601.5315436037649,0.0,0.0,31.96848830215386
2879,2020-08-01,East Midlands,185.0,79.13804997622137,431.165364943206,3.852974452571679,1.6472855020987351,8.97485413011141
3866,2020-08-01,North East,45.0,7.937994181156693,252.2433371060686,1.691358069558971,0.2986556041292871,9.490292448163897
2221,2020-08-01,Scotland,95.0,24.94036553894225,358.0731211389855,1.7401215449870633,0.4586227825700566,6.584526234144012
576,2020-08-01,South East,218.0,121.59614534946772,389.11296896108803,2.3828849284272176,1.3313021429001928,4.2602249266976475
1563,2020-08-01,South West,137.0,62.68660236404541,297.4241484100607,2.4411323081285152,1.1194565879286327,5.311396850209174
2550,2020-08-01,Yorkshire and The Humber,164.0,63.826183180778514,419.89610971916966,2.9932279667536554,1.164793205011274,7.662876127596002
4523,2020-08-02,UK,1536.0,1148.629177295527,2054.191065042443,,,
3536,2020-08-02,Wales,83.0,24.540449387055904,279.52705236399413,2.6455916489434883,0.7818838655151212,8.906018336147005
2220,2020-08-02,Scotland,94.0,23.999517090138742,368.5356497226602,1.7338918534298284,0.44132173167353933,6.776919323341979
1233,2020-08-02,East of England,149.0,68.55600831207434,325.3143546272176,2.4108081455672368,1.1055256005045841,5.245978523353936
2549,2020-08-02,Yorkshire and The Humber,169.0,65.62640756463155,431.66516762293253,3.077582522582599,1.1976463230469943,7.877655047351547
3207,2020-08-02,West Midlands,199.0,77.47192891652915,509.1144323219998,3.373380299507011,1.3129150872765842,8.627951164943749
4194,2020-08-02,Northern Ireland,0.0,0.0,635.4021480559187,0.0,0.0,33.76854689214662
2878,2020-08-02,East Midlands,189.0,80.76624979975682,439.9900042259184,3.932182136495676,1.6811770367604504,9.158542006626323
3865,2020-08-02,North East,47.0,8.255092371807022,262.2024027508592,1.7588985653931448,0.31058596708190617,9.86498795673062
246,2020-08-02,England,1359.0,1016.2676119431127,1817.4776415316926,2.4282175437664155,1.815503475261137,3.246818983142903
904,2020-08-02,London,186.0,85.40020738722016,405.62425708876225,2.0909299259447276,0.9586824298883246,4.553441499788363
575,2020-08-02,South East,201.0,109.36210293439193,369.8360822933666,2.203183228428638,1.197357050835697,4.049170863631543
1562,2020-08-02,South West,92.0,35.8095132918683,236.0665114251825,1.6437646324318909,0.6394858558818998,4.21567290997132
1891,2020-08-02,North West,196.0,83.58910426702599,456.4716129828336,2.682134294742847,1.1462978361223037,6.259816118401584
1890,2020-08-03,North West,231.0,105.80219604823552,501.76283583705947,3.163676922371421,1.450916712776915,6.880916574117465
2877,2020-08-03,East Midlands,148.0,57.46563302246247,377.85913385429984,3.0736434925923075,1.1961667513322853,7.865266748685351
2219,2020-08-03,Scotland,114.0,0.0,494.18013818518654,2.0943834012312808,0.0,9.087367613416204
4193,2020-08-03,Northern Ireland,0.0,0.0,630.680969158944,0.0,0.0,33.51763909862327
574,2020-08-03,South East,180.0,94.75573896543419,341.61550679041187,1.970983231709464,1.0374384646340766,3.7401963272020895
2548,2020-08-03,Yorkshire and The Humber,208.0,88.71511414857899,483.5387382950073,3.7870581907166314,1.6190026881191286,8.824319560680948
3206,2020-08-03,West Midlands,193.0,75.16825486204861,494.06435984365453,3.2731484755530964,1.2738747733900686,8.372897915363309
3864,2020-08-03,North East,0.0,0.0,184.37044417239002,0.0,0.0,6.936672556223333
1232,2020-08-03,East of England,147.0,67.53869753448555,320.50258644663717,2.375054010892835,1.0891205743663346,5.168384552551116
