,date,region,pop_mid,pop_low,pop_up,mil_mid,mil_low,mil_up
1236,2020-08-11,North West,269.0,123.20795512962394,583.506424227875,38.412963273367076,17.621065872591036,83.45244531963864
737,2020-08-12,Midlands,188.0,73.11472238794875,481.64627644081475,17.83312172059457,6.9384085801008695,45.7070552671812
239,2020-08-12,South East,49.0,13.511172286646486,179.28067954007122,5.572616205909043,1.5284366690083113,20.28093187181061
1567,2020-08-12,Wales,43.0,9.015842344238377,210.43202763420885,13.579223530740496,2.872539761519713,67.04580042515634
73,2020-08-12,England,831.0,554.0117936176536,1246.310977611157,14.866849151925994,9.910144337600977,22.29396886483461
1899,2020-08-12,UK,967.0,644.680390407065,1450.280042539096,,,
1401,2020-08-12,Scotland,93.0,21.8362527757975,411.2198837213768,17.049455626973696,4.015419498684743,75.6183011936847
1235,2020-08-12,North West,135.0,46.012565028482136,396.02920329622106,19.340691546095883,6.580666309093032,56.639659926265324
1733,2020-08-12,Northern Ireland,0.0,0.0,681.7624807168064,0.0,0.0,362.3237404819981
571,2020-08-12,East of England,94.0,32.11728547605678,276.597418798771,14.55421469669013,4.95176179766871,42.64509006412102
1069,2020-08-12,South West,28.0,4.955389593556802,158.49364819733586,5.011393990690752,0.884723849236484,28.297091049108197
903,2020-08-12,North East and Yorkshire,151.0,51.430718930608975,442.706857729579,17.65817781118599,6.008129603065841,51.71695501659297
405,2020-08-12,London,267.0,129.40093328068457,549.4016006165427,30.038660586421766,14.561354542871804,61.82359964626997
1566,2020-08-13,Wales,39.0,7.749377535456909,180.08692475911116,12.34633271607091,2.4690310952312995,57.37753968501272
1234,2020-08-13,North West,179.0,69.53584787613025,457.5103542889767,25.55639761707232,9.94494028119092,65.43262634167482
570,2020-08-13,East of England,63.0,17.24045992331142,228.3965068603659,9.69019155565106,2.6580904817169295,35.21359544022692
404,2020-08-13,London,303.0,153.8876003849676,596.925402518381,34.14600376976399,17.316814122945516,67.171404419956
238,2020-08-13,South East,49.0,13.415545883703402,178.00539275576185,5.533161597585465,1.5176190361869144,20.136666441447723
1400,2020-08-13,Scotland,93.0,21.605558155061775,370.0898665753865,17.055660003427548,3.9729975828068214,68.05499468111776
1732,2020-08-13,Northern Ireland,0.0,0.0,698.0951740887675,0.0,0.0,371.0037760105777
72,2020-08-13,England,863.0,580.4495816054584,1283.8868758100487,15.4452133545196,10.383062600252364,22.96612526846347
736,2020-08-13,Midlands,142.0,48.22631997594232,415.444018188051,13.451805500775965,4.576559978335108,39.42462265059042
1898,2020-08-13,UK,995.0,669.2321363817279,1480.2635474287351,,,
1068,2020-08-13,South West,56.0,15.399791277638935,204.00490279909067,10.02319835901195,2.749443279758741,36.42256566511018
902,2020-08-13,North East and Yorkshire,149.0,50.674514404326445,436.15999477057017,17.39838717500817,5.919789892970393,50.95215137454577
71,2020-08-14,England,907.0,614.8363810636912,1338.5049437749522,16.230772066775955,10.998172512830166,23.943131431885774
1233,2020-08-14,North West,183.0,71.12344819267918,467.8200587955417,26.138884016789987,10.171997127705602,66.90710891096998
237,2020-08-14,South East,49.0,13.433814132175664,178.24504521976763,5.5406902549520245,1.5196856119252133,20.16377686577165
735,2020-08-14,Midlands,144.0,48.93549275745197,421.5213035921117,13.649508320788069,4.643858743225332,40.00134219234726
569,2020-08-14,East of England,64.0,17.55962853205429,232.61607949749177,9.869557965099686,2.7072990901146174,35.86415847123353
1731,2020-08-14,Northern Ireland,0.0,0.0,703.1553433571844,0.0,0.0,373.6930109107987
1565,2020-08-14,Wales,58.0,12.780655949530708,332.773243275685,18.401720676903633,4.072047956427725,106.02496543100638
1067,2020-08-14,South West,87.0,29.483182052070013,253.83970356361812,15.471071906482205,5.263859444424609,45.31995625891003
1399,2020-08-14,Scotland,105.0,23.832350111619668,584.7654902226727,19.224154365825555,4.382477356359697,107.53121314846595
901,2020-08-14,North East and Yorkshire,147.0,49.888080666164456,429.44351876085193,17.12859379375552,5.8279188104472075,50.167533558941926
1897,2020-08-14,UK,1070.0,725.330681078445,1579.052138742226,,,
403,2020-08-14,London,303.0,153.5918771500347,595.7783009286184,34.080385963848734,17.2835366900766,67.04232225244958
900,2020-08-15,North East and Yorkshire,151.0,51.30971998158807,441.6581833953524,17.616604512880254,5.993994522268444,51.594449023240195
1232,2020-08-15,North West,236.0,100.90282249341529,549.7668452115822,33.754103984844406,14.4310104003936,78.62704793572706
70,2020-08-15,England,988.0,674.1878590438284,1445.8589360981034,17.664680270245825,12.059849755461276,25.863476037174763
236,2020-08-15,South East,51.0,14.058405236015219,186.51881993274728,5.798269335675114,1.5903418011878032,21.099738630905097
734,2020-08-15,Midlands,203.0,78.98677373267158,520.1387635087879,19.264423518408876,7.495651910887737,49.35989827634604
568,2020-08-15,East of England,67.0,18.443523562011578,244.29592689098232,10.366272409050591,2.8435757890204023,37.66492778496657
1896,2020-08-15,UK,1169.0,797.6979830184569,1710.7379517193147,,,
1564,2020-08-15,Wales,68.0,14.562787179736947,375.8123023588236,21.760826383442264,4.6398532289195344,119.73765070147579
1730,2020-08-15,Northern Ireland,0.0,0.0,714.9918475628665,0.0,0.0,379.98353964967055
402,2020-08-15,London,281.0,136.4144485049493,579.0490703944852,31.66539688271757,15.350578230701203,65.1597990676395
1066,2020-08-15,South West,90.0,30.501063503970276,262.5717580614837,16.0049972544564,5.445589655377659,46.87895716514339
1398,2020-08-15,Scotland,113.0,24.078173232452254,621.5277657255208,20.766730372152878,4.427681218155652,114.29134545622935
733,2020-08-16,Midlands,215.0,83.54331782991892,550.0154588255128,20.375109718381,7.928056816868204,52.19512369142321
401,2020-08-16,London,169.0,65.92483373719823,434.4314908141474,19.06779760600189,7.418454047351993,48.88613089529712
235,2020-08-16,South East,81.0,27.626495873437044,238.25122184639767,9.186956046314531,3.1252172967182577,26.951910328755925
899,2020-08-16,North East and Yorkshire,156.0,53.10563441381944,457.0616553933974,18.23298194987765,6.2037930024223105,53.39388053082449
567,2020-08-16,East of England,70.0,19.297660048674455,255.5601303836973,10.84619691999175,2.9752643910289764,39.40161417391979
1397,2020-08-16,Scotland,109.0,37.163842022667964,601.3885200582447,20.0480918821408,6.833975473541856,110.58798478480438
1895,2020-08-16,UK,1091.0,727.3923447420983,1636.1491529875457,,,
