date,region,active_cases
2021-12-02,Wales,64426.39863300834
2021-12-02,West Midlands,100886.38027787479
2021-12-02,Yorkshire and The Humber,89170.97835261803
2021-12-03,East Midlands,84152.11395063171
2021-12-03,East of England,108603.593253382
2021-12-03,London,135986.2319037415
2021-12-03,North East,40205.248894845776
2021-12-03,North West,103265.86259122958
2021-12-03,Northern Ireland,38917.14956568882
2021-12-03,Scotland,65700.22482218446
2021-12-03,South East,165839.39403851333
2021-12-03,South West,90149.29886649452
2021-12-03,Wales,65151.84460702313
2021-12-03,West Midlands,101394.81816643878
2021-12-03,Yorkshire and The Humber,88488.8173381924
2021-12-04,East Midlands,83770.86136006468
2021-12-04,East of England,108946.74075159572
2021-12-04,London,137945.02982267932
2021-12-04,North East,40291.50939297531
2021-12-04,North West,103504.96004493276
2021-12-04,Northern Ireland,38699.04460806998
2021-12-04,Scotland,65709.72280209752
2021-12-04,South East,168027.34977939172
2021-12-04,South West,90370.56753490967
2021-12-04,Wales,65848.41425899636
2021-12-04,West Midlands,101948.56750585676
2021-12-04,Yorkshire and The Humber,87600.19228959078
2021-12-05,East Midlands,83607.57307794466
2021-12-05,East of England,109423.92284532008
2021-12-05,London,140449.2194871903
2021-12-05,North East,40534.031416278216
2021-12-05,North West,104010.01572476485
2021-12-05,Northern Ireland,38150.70108238126
2021-12-05,Scotland,65584.89130646446
2021-12-05,South East,169945.57203324916
2021-12-05,South West,90838.7854591867
2021-12-05,Wales,66573.61879809781
2021-12-05,West Midlands,102357.41419396103
2021-12-05,Yorkshire and The Humber,86491.85128675771
2021-12-06,East Midlands,83227.57584704051
2021-12-06,East of England,110044.75846325507
2021-12-06,London,142729.70263458637
2021-12-06,North East,40730.33796770529
2021-12-06,North West,104551.92571274878
2021-12-06,Northern Ireland,37612.36745933556
2021-12-06,Scotland,65497.68050245015
2021-12-06,South East,171515.87174824474
2021-12-06,South West,91235.88154510711
2021-12-06,Wales,67280.56253190611
2021-12-06,West Midlands,102766.01532319414
2021-12-06,Yorkshire and The Humber,85340.63520456142
2021-12-07,East Midlands,82881.27890623626
2021-12-07,East of England,110498.30719952106
2021-12-07,London,145296.07859404336
2021-12-07,North East,40857.2322244034
2021-12-07,North West,105365.72782545786
2021-12-07,Northern Ireland,36947.43636332922
2021-12-07,Scotland,65499.52141966689
2021-12-07,South East,172851.97401887816
2021-12-07,South West,91604.6816609913
2021-12-07,Wales,67687.70622735794
2021-12-07,West Midlands,102902.76424403372
2021-12-07,Yorkshire and The Humber,84152.92127989989
2021-12-08,East Midlands,82493.96066958751
2021-12-08,East of England,111418.19367851753
2021-12-08,London,148063.90956898095
2021-12-08,North East,40895.30432416507
2021-12-08,North West,106204.99707647944
2021-12-08,Northern Ireland,36608.406460061145
2021-12-08,Scotland,65474.52771398302
2021-12-08,South East,174090.356347705
2021-12-08,South West,91866.90646720644
2021-12-08,Wales,67811.19323074092
2021-12-08,West Midlands,102915.93464708209
2021-12-08,Yorkshire and The Humber,83415.7061543141
2021-12-09,East Midlands,82254.98116442967
2021-12-09,East of England,112286.37622925658
2021-12-09,London,151430.23237312533
2021-12-09,North East,40983.807616722115
2021-12-09,North West,106877.79959759701
2021-12-09,Northern Ireland,36680.52492646353
2021-12-09,Scotland,65753.15965546093
2021-12-09,South East,175184.0875041903
2021-12-09,South West,92203.38106336596
2021-12-09,Wales,67775.77357058084
2021-12-09,West Midlands,102838.4723530485
2021-12-09,Yorkshire and The Humber,82860.72690744376
2021-12-10,East Midlands,82374.68826167971
2021-12-10,East of England,113351.69924598653
2021-12-10,London,155200.8496976752
2021-12-10,North East,41129.498029143426
2021-12-10,North West,107249.73649822344
2021-12-10,Northern Ireland,36554.93321887593
2021-12-10,Scotland,66065.09121697489
2021-12-10,South East,176561.36566006055
2021-12-10,South West,92718.48101791994
